Загрузка CPU;Потребление памяти: Private Bytes;Потребление памяти: Working Set;Количество открытых хендлов
0.0;233896.0;220168.0;647
0.0;233896.0;220168.0;647
1.5;233896.0;220172.0;647
1.5;233896.0;220172.0;648
1.6;233896.0;220176.0;648
0.0;233896.0;220176.0;648
0.0;233896.0;220176.0;648
0.0;233896.0;220176.0;648
0.0;233992.0;220400.0;650
1.6;233992.0;220328.0;650
